nr_core  nr_sol  npol  
      11       4     101
raxis  zaxis  
       505.04103      -6.0271284
       505.71075      -6.8484059
       506.45025      -7.5945043
       507.24623      -8.2618968
       508.08329      -8.8506152
       508.94658      -9.3636603
       509.82533      -9.8039811
       510.71400      -10.171311
       511.59862      -10.476909
       512.47230      -10.726843
       513.33304      -10.924699
       514.17455      -11.080507
       514.99847      -11.194497
       515.80305      -11.273051
       516.58658      -11.325369
       517.35185      -11.351925
       518.10082      -11.353316
       518.83492      -11.333699
       519.55605      -11.296039
       520.26685      -11.238424
       520.96942      -11.166440
       521.66640      -11.077473
       522.36058      -10.974748
       523.05397      -10.854041
       523.74995      -10.718822
       524.45089      -10.566606
       525.15917      -10.395639
       525.87876      -10.206932
       526.61226      -9.9976725
       527.36169      -9.7641069
       528.13004      -9.5038435
       528.91999      -9.2135355
       529.73590      -8.8908988
       530.57944      -8.5301584
       531.44809      -8.1225096
       532.34622      -7.6646296
       533.26591      -7.1450692
       534.19970      -6.5551228
       535.13971      -5.8873316
       536.06065      -5.1304998
       536.92991      -4.2770787
       537.69659      -3.3236837
       538.31154      -2.2783913
       538.71503      -1.1592043
       538.85442    0.0013826911
       18.883824
       545.35943    0.0016638303
       545.14352       1.5661251
       544.52887       3.0661094
       543.60904       4.4538814
       542.48047       5.7045985
       541.23399       6.8136998
       539.94603       7.7926581
       538.65271       8.6527749
       537.38034       9.4092729
       536.14483       10.077451
       534.95350       10.671504
       533.80522       11.200927
       532.69851       11.675090
       531.62982       12.101292
       530.59558       12.486289
       529.59284       12.837087
       528.61566       13.156612
       527.65896       13.447236
       526.71915       13.712783
       525.79265       13.957737
       524.87369       14.179225
       523.95888       14.380850
       523.04520       14.565708
       522.12741       14.729253
       521.20251       14.873415
       520.26681       14.999203
       519.31656       15.104860
       518.34851       15.186157
       517.35960       15.241154
       516.34585       15.272327
       515.30636       15.267868
       514.23862       15.226658
       513.14249       15.141107
       512.01721       15.007099
       510.86687       14.813081
       509.69295       14.554701
       508.50420       14.219643
       507.30984       13.798840
       506.12035       13.285466
       504.95023       12.671987
       503.81647       11.952889
       502.73894       11.124562
       501.72803       10.192798
       500.80148       9.1607105
       499.97575       8.0348210
       499.26161       6.8260819
       498.66293       5.5479354
       498.19411       4.2117074
       497.85500       2.8322919
       497.64942       1.4240615
       497.58280    0.0011302128
       497.64951      -1.4219021
       497.85417      -2.8301569
       498.19376      -4.2095787
       498.66205      -5.5459437
       499.25919      -6.8246270
       499.97479      -8.0329835
       500.80023      -9.1590649
       501.72690      -10.191158
       502.73810      -11.122860
       503.81534      -11.951443
       504.94816      -12.671427
       506.11833      -13.285055
       507.30837      -13.798150
       508.50253      -14.219303
       509.69201      -14.553766
       510.86544      -14.813075
       512.01600      -15.007055
       513.14127      -15.141424
       514.23774      -15.226650
       515.30563      -15.267891
       516.34536      -15.272018
       517.35921      -15.241138
       518.34814      -15.186817
       519.31642      -15.105256
       520.26682      -14.999143
       521.20267      -14.873614
       522.12769      -14.729229
       523.04548      -14.565008
       523.95934      -14.380361
       524.87446      -14.179452
       525.79334      -13.957259
       526.72012      -13.712632
       527.66027      -13.447384
       528.61679      -13.156176
       529.59393      -12.836365
       530.59713      -12.485924
       531.63162      -12.100948
       532.69992      -11.674213
       533.80617      -11.199413
       534.95425      -10.669759
       536.14623      -10.076057
       537.38193      -9.4077672
       538.65380      -8.6509464
       539.94787      -7.7909610
       541.23772      -6.8125314
       542.48126      -5.7023742
       543.60828      -4.4514816
       544.53301      -3.0637741
       545.14593      -1.5663209
       545.35943    0.0016638303
       23.604780
       552.04039    0.0011143257
       551.72686       1.9807015
       550.84422       3.8638284
       549.55187       5.5875608
       548.01001       7.1242658
       546.35139       8.4764456
       544.66344       9.6603172
       543.00138       10.699101
       541.38943       11.613161
       539.83961       12.422215
       538.35739       13.144488
       536.93709       13.791812
       535.57268       14.373928
       534.26157       14.903788
       532.99512       15.386726
       531.76664       15.829043
       530.57037       16.236583
       529.40000       16.614239
       528.24873       16.963240
       527.11074       17.286908
       525.98127       17.588079
       524.85359       17.865530
       523.72399       18.124059
       522.58607       18.359995
       521.43541       18.575670
       520.26682       18.768259
       519.07558       18.935426
       517.85694       19.077351
       516.60692       19.187049
       515.32167       19.261245
       513.99735       19.296554
       512.63373       19.280117
       511.22910       19.207037
